gID;T;x;y;itemInCraneID
0;0.0;0;0;null
0;3.0;-15;5;null
0;13.0;-15;5;2600
0;31.0;75;5;2600
0;41.0;75;5;null
0;59.0;-15;5;null
0;69.0;-15;5;2601
0;121.0;245;5;2601
0;131.0;245;5;null
0;183.0;-15;5;null
0;193.0;-15;5;2602
0;297.0;505;5;2602
0;307.0;505;5;null
0;411.0;-15;5;null
0;421.0;-15;5;2603
0;533.0;545;5;2603
0;543.0;545;5;null
0;655.0;-15;5;null
0;665.0;-15;5;2604
0;793.0;625;5;2604
0;803.0;625;5;null
0;931.0;-15;5;null
0;941.0;-15;5;2605
0;1127.0;915;5;2605
0;1137.0;915;5;null
0;1323.0;-15;5;null
0;1333.0;-15;5;2606
0;1349.0;65;15;2606
0;1359.0;65;15;null
0;1375.0;-15;5;null
0;1385.0;-15;5;2607
0;1409.0;105;15;2607
0;1419.0;105;15;null
0;1443.0;-15;5;null
0;1453.0;-15;5;2608
0;1527.0;355;15;2608
0;1537.0;355;15;null
0;1611.0;-15;5;null
0;1621.0;-15;5;2609
0;1715.0;455;15;2609
0;1725.0;455;15;null
0;1819.0;-15;5;null
0;1829.0;-15;5;2610
0;1939.0;535;15;2610
0;1949.0;535;15;null
0;2059.0;-15;5;null
0;2069.0;-15;5;2611
0;2245.0;865;15;2611
0;2255.0;865;15;null
0;2431.0;-15;5;null
0;2441.0;-15;5;2612
0;2509.0;325;25;2612
0;2519.0;325;25;null
0;2587.0;-15;5;null
0;2597.0;-15;5;2613
0;2689.0;445;25;2613
0;2699.0;445;25;null
0;2791.0;-15;5;null
0;2801.0;-15;5;2614
0;2899.0;475;25;2614
0;2909.0;475;25;null
0;3007.0;-15;5;null
0;3017.0;-15;5;2615
0;3145.0;625;25;2615
0;3155.0;625;25;null
0;3283.0;-15;5;null
0;3293.0;-15;5;2616
0;3449.0;765;25;2616
0;3459.0;765;25;null
0;3615.0;-15;5;null
0;3625.0;-15;5;2617
0;3689.0;305;35;2617
0;3699.0;305;35;null
0;3763.0;-15;5;null
0;3773.0;-15;5;2618
0;3875.0;495;35;2618
0;3885.0;495;35;null
0;3987.0;-15;5;null
0;3997.0;-15;5;2619
0;4167.0;835;35;2619
0;4177.0;835;35;null
0;4347.0;-15;5;null
0;4357.0;-15;5;2620
0;4391.0;155;45;2620
0;4401.0;155;45;null
0;4435.0;-15;5;null
0;4445.0;-15;5;2621
0;4483.0;175;45;2621
0;4493.0;175;45;null
0;4531.0;-15;5;null
0;4541.0;-15;5;2622
0;4583.0;195;45;2622
0;4593.0;195;45;null
0;4635.0;-15;5;null
0;4645.0;-15;5;2623
0;4713.0;325;45;2623
0;4723.0;325;45;null
0;4791.0;-15;5;null
0;4801.0;-15;5;2624
0;4897.0;465;45;2624
0;4907.0;465;45;null
0;5003.0;-15;5;null
0;5013.0;-15;5;2625
0;5115.0;495;45;2625
0;5125.0;495;45;null
0;5227.0;-15;5;null
0;5237.0;-15;5;2626
0;5347.0;535;45;2626
0;5357.0;535;45;null
0;5467.0;-15;5;null
0;5477.0;-15;5;2627
0;5611.0;655;45;2627
0;5621.0;655;45;null
0;5755.0;-15;5;null
0;5765.0;-15;5;2628
0;5919.0;755;45;2628
0;5929.0;755;45;null
0;6083.0;-15;5;null
0;6093.0;-15;5;2629
0;6131.0;175;55;2629
0;6141.0;175;55;null
0;6179.0;-15;5;null
0;6189.0;-15;5;2630
0;6229.0;185;55;2630
0;6239.0;185;55;null
0;6279.0;-15;5;null
0;6289.0;-15;5;2631
0;6445.0;765;55;2631
0;6455.0;765;55;null
0;6611.0;-15;5;null
0;6621.0;-15;5;2632
0;6629.0;25;65;2632
0;6639.0;25;65;null
0;6647.0;-15;5;null
0;6657.0;-15;5;2633
0;6675.0;75;65;2633
0;6685.0;75;65;null
0;6703.0;-15;5;null
0;6713.0;-15;5;2634
0;6837.0;605;65;2634
0;6847.0;605;65;null
0;6971.0;-15;5;null
0;6981.0;-15;5;2635
0;7135.0;755;65;2635
0;7145.0;755;65;null
0;7299.0;-15;5;null
0;7309.0;-15;5;2636
0;7465.0;765;65;2636
0;7475.0;765;65;null
0;7631.0;-15;5;null
0;7641.0;-15;5;2637
0;7811.0;835;65;2637
0;7821.0;835;65;null
0;7991.0;-15;5;null
0;8001.0;-15;5;2638
0;8195.0;955;65;2638
0;8205.0;955;65;null
0;8399.0;-15;5;null
0;8409.0;-15;5;2639
0;8447.0;175;75;2639
0;8457.0;175;75;null
0;8495.0;-15;5;null
0;8505.0;-15;5;2640
0;8583.0;375;75;2640
0;8593.0;375;75;null
0;8671.0;-15;5;null
0;8681.0;-15;5;2641
0;8793.0;545;75;2641
0;8803.0;545;75;null
0;8915.0;-15;5;null
0;8925.0;-15;5;2642
0;9043.0;575;75;2642
0;9053.0;575;75;null
0;9171.0;-15;5;null
0;9181.0;-15;5;2643
0;9301.0;585;75;2643
0;9311.0;585;75;null
0;9431.0;-15;5;null
0;9441.0;-15;5;2644
0;9569.0;625;75;2644
0;9579.0;625;75;null
0;9707.0;-15;5;null
0;9717.0;-15;5;2645
0;9849.0;645;75;2645
0;9859.0;645;75;null
0;9991.0;-15;5;null
0;10001.0;-15;5;2646
0;10137.0;665;75;2646
0;10147.0;665;75;null
0;10283.0;-15;5;null
0;10293.0;-15;5;2647
0;10441.0;725;75;2647
0;10451.0;725;75;null
0;10599.0;-15;5;null
0;10609.0;-15;5;2648
0;10617.0;5;85;2648
0;10627.0;5;85;null
0;10635.0;-15;5;null
0;10645.0;-15;5;2649
0;10659.0;55;85;2649
0;10669.0;55;85;null
0;10679.0;55;85;null
1;0.0;500;0;null
1;133.0;665;95;null
1;143.0;665;95;552
1;145.0;655;95;552
1;155.0;655;95;null
1;157.0;665;95;null
1;167.0;665;95;212
1;168.0;665;85;212
1;178.0;665;85;null
1;179.0;665;95;null
1;189.0;665;95;154
1;191.0;655;95;154
1;201.0;655;95;null
1;203.0;665;95;null
1;213.0;665;95;67
1;283.0;1015;5;67
1;293.0;1015;5;null
1;417.0;395;85;null
1;427.0;395;85;2497
1;551.0;1015;5;2497
1;561.0;1015;5;null
1;633.0;655;45;null
1;643.0;655;45;2627
1;715.0;1015;5;2627
1;725.0;1015;5;null
1;795.0;665;75;null
1;805.0;665;75;2646
1;875.0;1015;5;2646
1;885.0;1015;5;null
1;935.0;765;25;null
1;945.0;765;25;2616
